Kode,Nama Kriteria,Deskripsi,Saran Stimulasi,Kelompok Usia
EK1,Intelektual Umum,Kemampuan penalaran verbal dan logis yang berkembang baik pada usia sekolah awal.,"Ajak anak membaca buku mandiri, bahas kosa kata baru, berikan teka-teki logika atau catur pemula.",early_elementary
EK2,Akademik Khusus,Kecakapan dalam matematika dasar (penjumlahan/pengurangan) dan ketertarikan pada sains/alam.,"Berikan latihan soal hitungan menyenangkan, ajak berkunjung ke museum sains, lakukan observasi alam.",early_elementary
EK3,Berpikir Kreatif dan Produktif,"Kemampuan menciptakan karya orisinal, kerajinan tangan, dan menemukan solusi alternatif.","Sediakan bahan daur ulang untuk crafting, ajak menulis buku harian/komik bergambar sendiri.",early_elementary
EK4,Kepemimpinan,"Tanggung jawab mandiri (PR/sekolah), kepemimpinan kelompok bermain, dan kerjasama tim.","Berikan tugas rumah tangga harian, dukung bergabung dalam klub olahraga atau pramuka sekolah.",early_elementary
EK5,Seni Visual dan Pertunjukan,Bakat seni rupa detail (proporsi gambar) dan rasa percaya diri tampil seni pertunjukan/musik.,"Ikutkan les menggambar, belajar alat musik dasar (pianika/recorder), dorong tampil di acara sekolah.",early_elementary
EK6,Psikomotorik,"Koordinasi motorik kasar lanjut (sepeda roda dua, lompat tali) dan motorik halus presisi (origami/menggunting pola).","Latih bersepeda roda dua, bermain bulu tangkis, melatih origami kreatif dan membuat kerajinan tangan rumit.",early_elementary
LK1,Intelektual Umum,"Kemampuan penalaran verbal, logika abstrak, debat argumen, dan menulis esai runtut.","Ajak diskusi kritis tentang isu sosial, berikan buku bacaan sastra anak, dorong anak menulis artikel/esai pendek.",late_elementary
LK2,Akademik Khusus,Kemampuan pemecahan matematika sekolah tingkat lanjut dan minat riset/teknologi (programming/robotik).,"Dukung bergabung dalam klub matematika, berikan kit robotik sederhana, perkenalkan kelas coding pemula.",late_elementary
LK3,Berpikir Kreatif dan Produktif,"Bakat dalam desain kreatif (digital/seni), inovasi ide proyek, dan apresiasi estetika luas.","Kenalkan perangkat lunak desain digital, dorong pembuatan video/editing kreatif, ajak mengulas film secara kritis.",late_elementary
LK4,Kepemimpinan,"Kepemimpinan organisasi (ketua kelas/kelompok), resolusi konflik adil, dan sportivitas lomba.","Dukung berorganisasi di sekolah (OSIS/Pramuka), latih teknik mediasi konflik sebaya, latih sportivitas.",late_elementary
LK5,Seni Visual dan Pertunjukan,"Kemampuan teknik melukis 3D/desain grafis, kemahiran alat musik, dan tari kreasi mandiri.","Fasilitasi studio lukis sederhana, ikutkan les alat musik lanjutan (gitar/biola), dukung menciptakan koreografi sendiri.",late_elementary
LK6,Psikomotorik,"Penguasaan olahraga tim taktis, kelincahan atletik menonjol, dan keterampilan mekanis/bongkar-pasang presisi.","Dukung bergabung dengan klub olahraga prestasi (sepak bola/basket), fasilitasi perkakas bongkar pasang mainan mekanik.",late_elementary
